projectName, groupId, averageLine, variantComplex, distributionComplex, contextComplex, syntacticComplex, instanceNumber
,834,0.912568306010929,1.0,0.0,0.0,0.0,2
,835,0.8633879781420765,1.0,0.0,0.0,0.18069636157678548,2
,836,0.9289617486338798,1.0,0.0,0.0,0.34295098019812775,2
,837,0.8797814207650273,1.0,0.0,0.0,0.22294491816723944,2
,838,0.9289617486338798,1.0,0.0,0.0,0.45548591500359514,3
,839,0.9562841530054644,1.0,0.0,0.0,0.0,2
,1033,0.9672131147540983,1.0,1.0,0.0,0.8527924884900404,2
,1032,0.9016393442622951,1.0,1.0,0.0,0.0,2
,1031,0.9672131147540983,1.0,1.0,0.0,0.9463946303571862,2
,1030,0.9344262295081968,1.0,1.0,0.0,0.842088781560647,2
,1029,0.9453551912568307,1.0,1.0,0.0,0.0,3
,1028,0.9016393442622951,1.0,1.0,0.0,0.627079355810753,3
,1027,0.9344262295081968,1.0,0.0,0.0,0.0,2
,840,0.912568306010929,1.0,0.0,0.0,0.0,3
,1026,0.9180327868852459,1.0,1.0,0.0,0.9713067383178076,2
,841,0.9672131147540983,1.0,0.0,0.0,0.0,2
,1025,0.9508196721311475,1.0,1.0,0.0,0.0,3
,600,0.7595628415300546,1.0,1.0,0.0,0.0,2
,842,0.9344262295081968,1.0,0.0,0.0,0.0,2
,1024,0.8743169398907104,1.0,1.0,0.0,0.5302910328104031,2
,601,0.8743169398907104,1.0,1.0,0.0,0.0,2
,843,0.912568306010929,1.0,0.0,0.0,0.0,2
,1023,0.9398907103825137,1.0,0.0,0.0,0.0,2
,602,0.7923497267759563,1.0,0.0,0.0,0.6289054987282648,3
,844,0.9562841530054644,1.0,1.0,0.0,0.0,2
,603,0.8907103825136612,1.0,0.0,0.0,0.0,5
,845,0.9617486338797814,1.0,0.0,0.0,0.0,2
,604,0.9562841530054644,0.9999999999999999,1.0,0.31091750708257115,0.0,6
,846,0.9508196721311475,1.0,0.0,0.0,0.0,3
,605,0.9562841530054644,1.0,0.0,0.0,0.0,5
,847,0.9672131147540983,0.9182958340544896,1.0,0.0,0.0,3
,606,0.9617486338797814,0.9697238998682474,1.0,0.31091750708257115,0.0,6
,848,0.9672131147540983,1.0,0.9182958340544896,0.3954884891037233,0.0,3
