projName,groupId,vComplexity,dComplexity,crComplexity,sComplexity,insNumber,domain,cloneClass
,1020,1.0,0.0,0.0,0.0,3,,3
,1019,1.0,0.0,0.0,0.45548591500359514,2,,2
,1018,1.0,0.0,0.0,0.45548591500359514,3,,3
,1017,1.0,1.0,0.0,0.4280272187063687,2,,2
,1259,1.0,0.9182958340544896,0.3954884891037233,0.0,3,,3
,1016,0.9463946303571862,1.0,0.43067655807339306,0.0,4,,3
,1258,1.0,0.0,0.0,0.6126016192893442,2,,3
,1015,1.0,0.0,0.0,0.0,2,,2
,1257,1.0,0.0,0.0,0.6309297535714574,2,,3
,830,1.0,1.0,0.0,0.0,2,,2
,1014,1.0,0.0,0.0,0.0,2,,2
,1256,1.0,1.0,0.0,0.6309297535714574,2,,3
,831,1.0,1.0,0.0,0.0,2,,2
,1013,1.0,0.0,0.0,0.9821410328348752,2,,3
,1255,1.0,0.0,0.0,0.0,2,,2
,832,1.0,1.0,0.3954884891037233,0.0,4,,3
,1012,1.0,0.0,0.0,0.0,2,,2
,1254,1.0,0.0,0.0,0.864973520717927,2,,3
,833,1.0,1.0,0.0,0.12360498799464745,2,,2
,834,1.0,0.0,0.0,0.0,2,,2
,835,1.0,0.0,0.0,0.18069636157678548,2,,2
,836,1.0,0.0,0.0,0.34295098019812775,2,,2
,837,1.0,0.0,0.0,0.22294491816723944,2,,2
,838,1.0,0.0,0.0,0.45548591500359514,3,,3
,839,1.0,0.0,0.0,0.0,2,,2
,1033,1.0,1.0,0.0,0.8527924884900404,2,,3
,1032,1.0,1.0,0.0,0.0,2,,2
,1031,1.0,1.0,0.0,0.9463946303571862,2,,3
,1030,1.0,1.0,0.0,0.842088781560647,2,,3
,1029,1.0,1.0,0.0,0.0,3,,3
,1028,1.0,1.0,0.0,0.627079355810753,3,,3
,1027,1.0,0.0,0.0,0.0,2,,2
,840,1.0,0.0,0.0,0.0,3,,3
,1026,1.0,1.0,0.0,0.9713067383178076,2,,3
,841,1.0,0.0,0.0,0.0,2,,2
,1025,1.0,1.0,0.0,0.0,3,,3
,600,1.0,1.0,0.0,0.0,2,,2
,842,1.0,0.0,0.0,0.0,2,,2
,1024,1.0,1.0,0.0,0.5302910328104031,2,,2
,601,1.0,1.0,0.0,0.0,2,,2
,843,1.0,0.0,0.0,0.0,2,,2
,1023,1.0,0.0,0.0,0.0,2,,2
,602,1.0,0.0,0.0,0.6289054987282648,3,,3
,844,1.0,1.0,0.0,0.0,2,,2
,603,1.0,0.0,0.0,0.0,5,,3
,845,1.0,0.0,0.0,0.0,2,,2
,604,0.9999999999999999,1.0,0.31091750708257115,0.0,6,,3
,846,1.0,0.0,0.0,0.0,3,,3
,605,1.0,0.0,0.0,0.0,5,,3
,847,0.9182958340544896,1.0,0.0,0.0,3,,3
,606,0.9697238998682474,1.0,0.31091750708257115,0.0,6,,3
,848,1.0,0.9182958340544896,0.3954884891037233,0.0,3,,3
,607,1.0,1.0,0.0,0.0,2,,2
,849,1.0,0.0,0.0,0.0,2,,2
,608,1.0,0.8112781244591328,0.43067655807339306,0.0,4,,3
,609,1.0,1.0,0.0,0.0,2,,2
,1044,1.0,1.0,0.0,0.0,2,,2
,1043,1.0,0.9182958340544896,0.3954884891037233,0.0,3,,3
,1042,1.0,1.0,0.0,0.905712598013837,2,,3
,1041,1.0,0.0,0.0,0.0,2,,2
,1040,1.0,0.0,0.0,0.0,2,,2
,1039,1.0,0.0,0.0,0.0,3,,3
,850,1.0,0.0,0.0,0.0,2,,2
,1038,1.0,0.0,0.0,0.6021808102656677,3,,3
,851,1.0,0.0,0.0,0.0,3,,3
,1037,1.0,0.0,0.0,0.0,2,,2
,610,1.0,1.0,0.0,0.0,2,,2
